Device,Test Name,Test Status,Message(s),Test description,Test category
NY5-Leaf1A,VerifyCoredump,success,,Verifies there are no core dump files.,System
NY5-Leaf1A,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
NY5-Leaf1A,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
NY5-Leaf1A,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
NY5-Leaf1A,VerifyNTP,success,,Verifies if NTP is synchronised.,System
NY5-Leaf1A,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
NY5-Leaf1A,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
NY5-Leaf1B,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
NY5-Leaf1B,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
NY5-Leaf1B,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
NY5-Leaf1B,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
NY5-Leaf1B,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
NY5-Leaf1B,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
NY5-Leaf1B,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
NY5-Leaf1B,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
NY5-Leaf1B,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
NY5-Leaf1B,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
NY5-Leaf1B,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
NY5-Leaf1B,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
NY5-Leaf1B,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
NY5-Leaf1B,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
NY5-Leaf1B,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
NY5-Leaf1B,VerifyInterfacesStatus,failure,"Interface: Vxlan1 - Status mismatch - Expected: up/up, Actual: down/down",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
NY5-Leaf1B,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
NY5-Leaf1B,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Dec 18 12:36:57 NY5-Leaf1B ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1437) -- Master ProcMgr (PID=1437) exiting.
 Dec 18 12:36:57 NY5-Leaf1B Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1852) at tbl://stpTxRxListen/+n closed by peer (EOF)
 Dec 18 12:36:57 NY5-Leaf1B Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1852))
 Dec 18 12:37:54 NY5-Leaf1B Bgp: %BGP-3-NOTIFICATION: sent to neighbor 10.245.217.2 (VRF default AS 65000) 6/7 (Cease/connection collision resolution) 0 bytes 
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
NY5-Leaf1B,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
NY5-Leaf1B,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
NY5-Leaf1B,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
NY5-Leaf1B,VerifyCoredump,success,,Verifies there are no core dump files.,System
NY5-Leaf1B,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
NY5-Leaf1B,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
NY5-Leaf1B,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
NY5-Leaf1B,VerifyNTP,success,,Verifies if NTP is synchronised.,System
NY5-Leaf1B,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
NY5-Leaf1B,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
NY5-Leaf2A,VerifyBGPPeerSession,failure,Peer: 10.245.218.1 VRF: default - Not found - Peer: 10.245.218.2 VRF: default - Not found - Peer: 192.168.12.16 VRF: default - Not found - Peer: 192.168.12.18 VRF: default - Not found - Peer: 192.168.14.73 VRF: default - Not found,Verifies the session state of BGP peers.,BGP
NY5-Leaf2A,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
NY5-Leaf2A,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
NY5-Leaf2A,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
NY5-Leaf2A,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
NY5-Leaf2A,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
NY5-Leaf2A,VerifyLLDPNeighbors,failure,Port: Ethernet49/1 Neighbor: CH3-Leaf2B Neighbor Port: Ethernet49/1 - Wrong LLDP neighbors: NY5-Leaf2B/Ethernet49/1 - Port: Ethernet50/1 Neighbor: CH3-Leaf2B Neighbor Port: Ethernet50/1 - Wrong LLDP neighbors: NY5-Leaf2B/Ethernet50/1 - Port: Ethernet51/1 Neighbor: CH3-Spine1 Neighbor Port: Ethernet5/1 - Wrong LLDP neighbors: NY5-Spine1/Ethernet5/1 - Port: Ethernet52/1 Neighbor: CH3-Spine2 Neighbor Port: Ethernet5/1 - Wrong LLDP neighbors: NY5-Spine2/Ethernet5/1,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
NY5-Leaf2A,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
NY5-Leaf2A,VerifyReachability,failure,Destination 192.168.12.16 from 192.168.12.17 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 192.168.12.18 from 192.168.12.19 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
NY5-Leaf2A,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
NY5-Leaf2A,VerifyReachability,failure,Destination 10.245.218.1 from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.245.218.2 from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
NY5-Leaf2A,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
NY5-Leaf2A,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
NY5-Leaf2A,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
NY5-Leaf2A,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
NY5-Leaf2A,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
NY5-Leaf2A,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
NY5-Leaf2A,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
NY5-Leaf2A,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
NY5-Leaf2A,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
NY5-Leaf2A,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
NY5-Leaf2A,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
NY5-Leaf2A,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
NY5-Leaf2A,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
NY5-Leaf2A,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
NY5-Leaf2A,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
NY5-Leaf2A,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
NY5-Leaf2A,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
NY5-Leaf2A,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
NY5-Leaf2A,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
NY5-Leaf2A,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
NY5-Leaf2A,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
NY5-Leaf2A,VerifyInterfacesStatus,failure,"Interface: Vxlan1 - Status mismatch - Expected: up/up, Actual: down/down",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
NY5-Leaf2A,VerifyInterfacesStatus,failure,"Interface: Vxlan1 - Status mismatch - Expected: up/up, Actual: down/down",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
NY5-Leaf2A,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
NY5-Leaf2A,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
NY5-Leaf2A,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
NY5-Leaf2A,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
NY5-Leaf2A,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Dec 18 12:37:07 NY5-Leaf2A ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1437) -- Master ProcMgr (PID=1437) exiting.
 Dec 18 12:37:07 NY5-Leaf2A Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1856) at tbl://stpTxRxListen/+n closed by peer (EOF)
 Dec 18 12:37:07 NY5-Leaf2A Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1856))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
NY5-Leaf2A,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Dec 18 12:37:07 NY5-Leaf2A ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1437) -- Master ProcMgr (PID=1437) exiting.
 Dec 18 12:37:07 NY5-Leaf2A Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1856) at tbl://stpTxRxListen/+n closed by peer (EOF)
 Dec 18 12:37:07 NY5-Leaf2A Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1856))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
NY5-Leaf2A,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
NY5-Leaf2A,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
NY5-Leaf2A,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
NY5-Leaf2A,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
NY5-Leaf2A,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
NY5-Leaf2A,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
NY5-Leaf2A,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
NY5-Leaf2A,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
NY5-Leaf2A,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
NY5-Leaf2A,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
NY5-Leaf2A,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
NY5-Leaf2A,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
NY5-Leaf2A,VerifyCoredump,success,,Verifies there are no core dump files.,System
NY5-Leaf2A,VerifyCoredump,success,,Verifies there are no core dump files.,System
NY5-Leaf2A,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
NY5-Leaf2A,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
NY5-Leaf2A,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
NY5-Leaf2A,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
NY5-Leaf2A,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
NY5-Leaf2A,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
NY5-Leaf2A,VerifyNTP,success,,Verifies if NTP is synchronised.,System
NY5-Leaf2A,VerifyNTP,success,,Verifies if NTP is synchronised.,System
NY5-Leaf2A,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
NY5-Leaf2A,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
NY5-Leaf2A,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
NY5-Leaf2A,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
NY5-Leaf2B,VerifyBGPPeerSession,failure,Peer: 10.245.218.1 VRF: default - Not found - Peer: 10.245.218.2 VRF: default - Not found - Peer: 192.168.12.20 VRF: default - Not found - Peer: 192.168.12.22 VRF: default - Not found - Peer: 192.168.14.72 VRF: default - Not found,Verifies the session state of BGP peers.,BGP
NY5-Leaf2B,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
NY5-Leaf2B,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
NY5-Leaf2B,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
NY5-Leaf2B,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
NY5-Leaf2B,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
NY5-Leaf2B,VerifyLLDPNeighbors,failure,Port: Ethernet49/1 Neighbor: CH3-Leaf2A Neighbor Port: Ethernet49/1 - Wrong LLDP neighbors: NY5-Leaf2A/Ethernet49/1 - Port: Ethernet50/1 Neighbor: CH3-Leaf2A Neighbor Port: Ethernet50/1 - Wrong LLDP neighbors: NY5-Leaf2A/Ethernet50/1 - Port: Ethernet51/1 Neighbor: CH3-Spine1 Neighbor Port: Ethernet6/1 - Wrong LLDP neighbors: NY5-Spine1/Ethernet6/1 - Port: Ethernet52/1 Neighbor: CH3-Spine2 Neighbor Port: Ethernet6/1 - Wrong LLDP neighbors: NY5-Spine2/Ethernet6/1,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
NY5-Leaf2B,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
NY5-Leaf2B,VerifyReachability,failure,Destination 192.168.12.20 from 192.168.12.21 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address' - Destination 192.168.12.22 from 192.168.12.23 in VRF default - Error when executing ping: 'ping: bind: Cannot assign requested address',Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
NY5-Leaf2B,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
NY5-Leaf2B,VerifyReachability,failure,Destination 10.245.218.1 from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0 - Destination 10.245.218.2 from Loopback0 in VRF default - Packet loss detected - Transmitted: 1 Received: 0,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
NY5-Leaf2B,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
NY5-Leaf2B,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
NY5-Leaf2B,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
NY5-Leaf2B,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
NY5-Leaf2B,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
NY5-Leaf2B,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
NY5-Leaf2B,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
NY5-Leaf2B,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
NY5-Leaf2B,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
NY5-Leaf2B,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
NY5-Leaf2B,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
NY5-Leaf2B,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
NY5-Leaf2B,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
NY5-Leaf2B,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
NY5-Leaf2B,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
NY5-Leaf2B,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
NY5-Leaf2B,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
NY5-Leaf2B,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
NY5-Leaf2B,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
NY5-Leaf2B,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
NY5-Leaf2B,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
NY5-Leaf2B,VerifyInterfacesStatus,failure,"Interface: Vxlan1 - Status mismatch - Expected: up/up, Actual: down/down",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
NY5-Leaf2B,VerifyInterfacesStatus,failure,"Interface: Vxlan1 - Status mismatch - Expected: up/up, Actual: down/down",Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
NY5-Leaf2B,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
NY5-Leaf2B,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
NY5-Leaf2B,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
NY5-Leaf2B,VerifyStormControlDrops,skipped,VerifyStormControlDrops test is not supported on vEOS-lab,Verifies there are no interface storm-control drop counters.,Interfaces
NY5-Leaf2B,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Dec 18 12:37:03 NY5-Leaf2B ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1439) -- Master ProcMgr (PID=1439) exiting.
 Dec 18 12:37:03 NY5-Leaf2B Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1857) at tbl://stpTxRxListen/+n closed by peer (EOF)
 Dec 18 12:37:03 NY5-Leaf2B Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1857))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
NY5-Leaf2B,VerifyLoggingErrors,failure,"Device has reported syslog messages with a severity of ERRORS or higher:
Dec 18 12:37:03 NY5-Leaf2B ProcMgr: %PROCMGR-3-SHUTDOWNREQUESTED: ProcMgr shutdown requested via SIGQUIT or SIGTERM to worker (PID=1439) -- Master ProcMgr (PID=1439) exiting.
 Dec 18 12:37:03 NY5-Leaf2B Stp: %FWK-3-SOCKET_CLOSE_REMOTE: Connection to StpTxRx (pid:1857) at tbl://stpTxRxListen/+n closed by peer (EOF)
 Dec 18 12:37:03 NY5-Leaf2B Stp: %FWK-3-MOUNT_PEER_CLOSED: Peer closed socket connection. (tbl://stpTxRxListen/+n-in)(StpTxRx (pid:1857))
 
",Verifies there are no syslog messages with a severity of ERRORS or higher.,Logging
NY5-Leaf2B,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
NY5-Leaf2B,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
NY5-Leaf2B,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
NY5-Leaf2B,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
NY5-Leaf2B,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
NY5-Leaf2B,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
NY5-Leaf2B,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
NY5-Leaf2B,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
NY5-Leaf2B,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
NY5-Leaf2B,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
NY5-Leaf2B,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
NY5-Leaf2B,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
NY5-Leaf2B,VerifyCoredump,success,,Verifies there are no core dump files.,System
NY5-Leaf2B,VerifyCoredump,success,,Verifies there are no core dump files.,System
NY5-Leaf2B,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
NY5-Leaf2B,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
NY5-Leaf2B,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
NY5-Leaf2B,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
NY5-Leaf2B,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
NY5-Leaf2B,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
NY5-Leaf2B,VerifyNTP,success,,Verifies if NTP is synchronised.,System
NY5-Leaf2B,VerifyNTP,success,,Verifies if NTP is synchronised.,System
NY5-Leaf2B,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
NY5-Leaf2B,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
NY5-Leaf2B,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
NY5-Leaf2B,VerifyVxlanConfigSanity,failure,Vxlan Category: localVtep - Config sanity check is not passing,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
NY5-Spine1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
NY5-Spine1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
NY5-Spine1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
NY5-Spine1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
NY5-Spine1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
NY5-Spine1,VerifyReachability,success,,Verifies reachability to BGP neighbors with an update source configured.,Connectivity
NY5-Spine1,VerifyEnvironmentCooling,skipped,VerifyEnvironmentCooling test is not supported on vEOS-lab,Verifies the status of power supply fans and all fan trays.,Hardware
NY5-Spine1,VerifyEnvironmentPower,skipped,VerifyEnvironmentPower test is not supported on vEOS-lab,Verifies the power supplies state and input voltage.,Hardware
NY5-Spine1,VerifyEnvironmentSystemCooling,skipped,VerifyEnvironmentSystemCooling test is not supported on vEOS-lab,Verifies the device's system cooling status.,Hardware
NY5-Spine1,VerifyTemperature,skipped,VerifyTemperature test is not supported on vEOS-lab,Verifies if the device temperature is within acceptable limits.,Hardware
NY5-Spine1,VerifyTransceiversTemperature,skipped,VerifyTransceiversTemperature test is not supported on vEOS-lab,Verifies if all the transceivers are operating at an acceptable temperature.,Hardware
NY5-Spine1,VerifyInterfaceDiscards,failure,Interface: Management1 - Non-zero discard counter(s): inDiscards: 2,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
NY5-Spine1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
NY5-Spine1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
NY5-Spine1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
NY5-Spine1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
